user_id,date,age,age_group,social_media_hours,work_or_study_hours,entertainment_hours,total_screen_time,primary_device,internet_type
1,4/2/2024,15,13-18,2.2,3.7,2.4,8.3,Mobile,WiFi
2,6/7/2024,13,13-18,1.1,6.9,2.1,10.1,Tablet,WiFi
3,4/3/2024,21,19-25,1.3,5.7,1.6,8.6,Tablet,WiFi
4,10/2/2024,35,26-35,2.5,5,2,9.5,Mobile,WiFi
5,10/5/2024,49,46-60,0.2,6.3,2.8,9.3,Laptop,WiFi
6,11/22/2024,44,36-45,1.9,3.8,2.5,8.2,Tablet,Mobile Data
7,4/2/2024,47,46-60,3.2,5.4,2.9,11.5,Mobile,Mobile Data
8,4/2/2024,22,19-25,3.8,6.9,2.9,13.6,Laptop,Mobile Data
9,2/13/2024,16,13-18,3.9,6.7,3.3,13.9,Tablet,WiFi
10,9/7/2024,14,13-18,0.5,6.7,1,8.2,Laptop,WiFi
11,8/25/2024,24,19-25,1.7,5.4,1.5,8.6,Laptop,WiFi
12,2/5/2024,64,60+,2.2,2,2.8,7,Mobile,Mobile Data
13,9/9/2024,28,26-35,2.2,3.8,3.4,9.4,Laptop,WiFi
14,6/11/2024,37,36-45,2.3,3.9,3.4,9.6,Tablet,WiFi
15,6/16/2024,64,60+,2.3,6.5,2.5,11.3,Mobile,Mobile Data
16,3/20/2024,20,19-25,3.6,5.1,2.3,11,Laptop,Mobile Data
17,5/23/2024,25,19-25,3.6,2.4,2.7,8.7,Laptop,WiFi
18,2/11/2024,55,46-60,2.9,5.2,3.1,11.2,Mobile,WiFi
19,6/15/2024,16,13-18,0.7,5.7,3.5,9.9,Mobile,WiFi
20,4/9/2024,21,19-25,3.1,5.4,2.7,11.2,Laptop,WiFi
21,4/3/2024,24,19-25,0.6,1.9,1.2,3.7,Laptop,Mobile Data
22,10/24/2024,74,60+,1.5,2.8,3.5,7.8,Mobile,WiFi
23,3/19/2024,40,36-45,3.9,5.6,3.2,12.7,Mobile,WiFi
24,3/17/2024,27,26-35,3.1,5.8,0.7,9.6,Tablet,WiFi
25,10/13/2024,75,60+,3,1,1.9,5.9,Mobile,WiFi
26,11/14/2024,40,36-45,2.7,2.8,3.4,8.9,Mobile,WiFi
27,5/28/2024,47,46-60,3.9,4.2,1.8,9.9,Mobile,Mobile Data
28,6/1/2024,31,26-35,2.3,3.3,1.8,7.4,Mobile,Mobile Data
29,10/10/2024,49,46-60,0.7,5.6,2.2,8.5,Mobile,WiFi
30,6/22/2024,34,26-35,2.7,4.5,0.7,7.9,Tablet,WiFi
31,12/7/2024,20,19-25,3.3,2.2,2.9,8.4,Laptop,Mobile Data
32,12/22/2024,39,36-45,1,5.6,0.6,7.2,Tablet,WiFi
33,6/10/2024,49,46-60,3.6,2.2,1.8,7.6,Tablet,WiFi
34,8/12/2024,24,19-25,2.2,3.4,1.8,7.4,Mobile,WiFi
35,1/13/2024,14,13-18,2.1,3.1,2.1,7.3,Tablet,Mobile Data
36,10/27/2024,69,60+,3.4,3.9,3,10.3,Tablet,Mobile Data
37,3/8/2024,42,36-45,1.6,4.1,1.1,6.8,Mobile,WiFi
38,1/3/2024,31,26-35,3.5,3.4,2.2,9.1,Mobile,WiFi
39,10/27/2024,18,13-18,2,2.1,1.9,6,Mobile,Mobile Data
40,5/30/2024,16,13-18,3.1,2.2,2.9,8.2,Tablet,WiFi
41,4/26/2024,36,36-45,1.6,1,0.9,3.5,Mobile,WiFi
42,8/16/2024,19,19-25,3.2,3.2,3,9.4,Tablet,Mobile Data
43,4/13/2024,60,46-60,1.2,1.3,1.7,4.2,Laptop,WiFi
44,5/16/2024,33,26-35,3.6,1.8,3,8.4,Tablet,Mobile Data
45,9/3/2024,68,60+,1.7,3.3,1.3,6.3,Tablet,WiFi
46,1/30/2024,42,36-45,2.8,4.2,1.9,8.9,Laptop,WiFi
47,5/1/2024,74,60+,3.5,2.2,1.1,6.8,Laptop,Mobile Data
48,5/8/2024,21,19-25,0.5,2.4,1.2,4.1,Laptop,Mobile Data
49,2/19/2024,67,60+,1.3,5.5,2.9,9.7,Laptop,Mobile Data
50,11/29/2024,32,26-35,3.4,2.1,2.8,8.3,Mobile,WiFi
51,2/29/2024,26,26-35,1.2,4.7,3.1,9,Tablet,WiFi
52,4/18/2024,20,19-25,3.5,3.1,1,7.6,Mobile,Mobile Data
53,4/28/2024,17,13-18,3.4,2.6,1.1,7.1,Tablet,Mobile Data
54,10/28/2024,70,60+,2.1,6.8,1.1,10,Tablet,WiFi
55,10/6/2024,52,46-60,1.1,1.1,3.4,5.6,Mobile,Mobile Data
56,3/5/2024,17,13-18,0.8,2,2.7,5.5,Mobile,Mobile Data
57,9/12/2024,67,60+,3.4,6.2,0.6,10.2,Tablet,Mobile Data
58,3/19/2024,33,26-35,2.5,3.4,1.3,7.2,Mobile,WiFi
59,4/19/2024,71,60+,0.4,3.4,0.7,4.5,Laptop,Mobile Data
60,5/17/2024,16,13-18,3.1,4.5,3.1,10.7,Laptop,Mobile Data
61,10/22/2024,66,60+,2.3,5.8,1.4,9.5,Tablet,Mobile Data
62,2/8/2024,29,26-35,0.6,4.2,0.5,5.3,Mobile,Mobile Data
63,1/18/2024,47,46-60,1.1,4.9,0.8,6.8,Tablet,WiFi
64,6/1/2024,19,19-25,0.9,5.9,2.8,9.6,Mobile,Mobile Data
65,8/14/2024,43,36-45,0.5,3.4,2.7,6.6,Tablet,Mobile Data
66,9/4/2024,14,13-18,0.8,6.3,2.5,9.6,Mobile,WiFi
67,7/12/2024,66,60+,0.7,5.3,3,9,Laptop,Mobile Data
68,1/31/2024,25,19-25,0.9,4.5,1.2,6.6,Mobile,WiFi
69,12/22/2024,14,13-18,1.4,2.1,0.9,4.4,Mobile,WiFi
70,6/28/2024,30,26-35,0.7,5.6,2.8,9.1,Tablet,WiFi
71,11/21/2024,63,60+,2,4.2,1.6,7.8,Tablet,WiFi
72,5/1/2024,30,26-35,3.4,4.6,2.2,10.2,Mobile,Mobile Data
73,11/7/2024,33,26-35,2.2,6.3,2.9,11.4,Laptop,Mobile Data
74,7/31/2024,73,60+,2.2,3.1,2.3,7.6,Mobile,Mobile Data
75,7/11/2024,60,46-60,2.3,4.1,1.2,7.6,Mobile,Mobile Data
76,7/4/2024,29,26-35,2.5,1.5,2.4,6.4,Mobile,WiFi
77,4/14/2024,32,26-35,0.8,5.3,1.1,7.2,Tablet,Mobile Data
78,1/21/2024,43,36-45,3.9,3.5,1.6,9,Tablet,Mobile Data
79,11/17/2024,22,19-25,0.8,2.4,1.1,4.3,Laptop,WiFi
80,2/2/2024,67,60+,1.5,3.4,1,5.9,Mobile,WiFi
81,7/7/2024,70,60+,1.5,4.5,1.3,7.3,Tablet,Mobile Data
82,3/11/2024,55,46-60,3.1,1.9,1.2,6.2,Mobile,Mobile Data
83,9/11/2024,72,60+,2.9,6.9,2.8,12.6,Mobile,WiFi
84,1/5/2024,22,19-25,3.9,3.4,2,9.3,Mobile,Mobile Data
85,7/5/2024,44,36-45,0.4,5.5,1.9,7.8,Tablet,WiFi
86,2/12/2024,51,46-60,3,4.6,2.7,10.3,Tablet,WiFi
87,8/30/2024,51,46-60,3.6,5.2,1.3,10.1,Laptop,Mobile Data
88,7/2/2024,43,36-45,3,3.4,3,9.4,Laptop,WiFi
89,2/9/2024,40,36-45,0.4,1.6,3.3,5.3,Mobile,WiFi
90,12/2/2024,70,60+,2.2,5,1.1,8.3,Mobile,WiFi
91,9/3/2024,34,26-35,3.6,5,1.3,9.9,Laptop,WiFi
92,3/18/2024,28,26-35,1.4,3.9,1.2,6.5,Tablet,Mobile Data
93,11/20/2024,26,26-35,1.4,1.2,2.6,5.2,Laptop,WiFi
94,4/10/2024,73,60+,1.5,3,1.7,6.2,Laptop,Mobile Data
95,4/6/2024,74,60+,1.4,1.9,2.6,5.9,Laptop,WiFi
96,3/11/2024,35,26-35,4,2,1.7,7.7,Laptop,WiFi
97,12/16/2024,43,36-45,2.5,2.6,0.7,5.8,Laptop,Mobile Data
98,6/2/2024,22,19-25,3.8,2.5,1.6,7.9,Laptop,WiFi
